Cooling_SP,Wall_U,Window_U ,Floor_U,Roof_U,Window_SHGC,Infiltration_rate ,Sensible HR_Eff,EUI-Baseline,IDD-Baseline,OCI-Baseline
24,0.3,1.2,0.7,0.2,0.3,0.32,0.61,148.2916667,1.426023,83.93308333
22,0.4,1.3,0.5,0.4,0.3,0.4,0.63,173.6041667,1.67119,98.25995833
22,0.4,2.3,0.4,0.2,0.3,0.52,0.69,179.6458333,1.162752,101.6795417
25,0.5,1.9,0.3,0.3,0.3,0.39,0.5,159.1458333,1.434348,90.07654167
22,0.6,2.8,0.8,0.4,0.1,0.71,0.71,221.8333333,1.393326,125.5576667
23,0.5,3.4,0.5,0.2,0.2,0.72,0.71,210.9791667,0.827712,119.4142083
23,0.6,2.8,0.2,0.2,0.1,0.63,0.71,194.1041667,1.121146,109.8629583
22,0.4,2.5,0.5,0.2,0.2,0.32,0.58,147.0833333,0.671156,83.24916667
25,0.6,3.2,0.8,0.2,0.2,0.57,0.72,198.9375,0.819447,112.598625
23,0.3,2.6,0.6,0.4,0.3,0.53,0.67,194.1041667,1.450882,109.8629583
24,0.4,2.2,0.6,0.2,0.3,0.42,0.89,173.6041667,1.180408,98.25995833
24,0.5,3.3,0.8,0.4,0.2,0.67,0.73,206.1666667,1.215261,116.6903333
22,0.8,2,0.8,0.3,0.3,0.77,0.87,235.1041667,1.495085,133.0689583
20,0.3,1.4,0.3,0.3,0.2,0.69,0.71,208.5833333,0.708213,118.0581667
25,0.4,2.4,0.4,0.3,0.3,0.52,0.52,179.6458333,1.319748,101.6795417
20,0.7,3.3,0.4,0.3,0.2,0.35,0.56,151.9166667,1.055025,85.98483333
22,0.4,2,0.6,0.3,0.3,0.55,0.87,186.875,1.382895,105.77125
20,0.8,3.1,0.2,0.3,0.3,0.61,0.79,209.7708333,1.378429,118.7302917
24,0.3,2.2,0.6,0.2,0.2,0.56,0.87,185.6666667,0.60003,105.0873333
22,0.8,3.2,0.7,0.3,0.2,0.56,0.87,197.7291667,1.061579,111.9147083
24,0.6,1.9,0.8,0.3,0.2,0.44,0.52,168.7916667,0.860683,95.53608333
24,0.7,2.2,0.7,0.2,0.2,0.31,0.81,159.1458333,0.703213,90.07654167
24,0.2,1.8,0.7,0.4,0.3,0.52,0.55,192.8958333,1.533059,109.1790417
23,0.3,2.9,0.4,0.3,0.2,0.42,0.74,161.5625,0.917966,91.444375
25,0.4,3.4,0.8,0.2,0.1,0.48,0.75,170,1.258123,96.22
22,0.8,3.4,0.6,0.3,0.2,0.5,0.74,176.0208333,1.085456,99.62779167
21,0.6,2.4,0.6,0.2,0.2,0.74,0.82,213.3958333,0.705168,120.7820417
25,0.4,3.3,0.5,0.3,0.1,0.66,0.9,196.5208333,1.349272,111.2307917
23,0.3,2.9,0.4,0.4,0.2,0.79,0.89,235.1041667,1.126881,133.0689583
24,0.2,2.6,0.3,0.2,0.1,0.31,0.56,160.3541667,1.115694,90.76045833
24,0.8,2.5,0.7,0.3,0.3,0.34,0.5,151.9166667,1.418961,85.98483333
21,0.4,3.1,0.4,0.2,0.2,0.73,0.86,210.9791667,0.762403,119.4142083
21,0.3,2,0.5,0.2,0.3,0.64,0.64,214.6041667,1.191913,121.4659583
23,0.7,1.1,0.4,0.2,0.3,0.52,0.59,192.8958333,1.597775,109.1790417
21,0.8,2.5,0.3,0.3,0.1,0.8,0.65,233.8958333,1.186122,132.3850417
24,0.7,2.4,0.6,0.3,0.2,0.6,0.63,206.1666667,0.943408,116.6903333
25,0.3,1.6,0.6,0.3,0.1,0.71,0.64,220.625,0.948194,124.87375
23,0.2,1.3,0.7,0.4,0.2,0.3,0.53,147.0833333,0.901518,83.24916667
20,0.8,3.2,0.3,0.2,0.2,0.42,0.51,163.9583333,0.859435,92.80041667
23,0.3,2.7,0.4,0.3,0.2,0.62,0.78,196.5208333,0.889428,111.2307917
25,0.6,2,0.5,0.2,0.1,0.78,0.65,226.6666667,0.917492,128.2933333
20,0.4,2.2,0.8,0.3,0.2,0.56,0.56,188.0833333,0.844818,106.4551667
25,0.3,2.6,0.3,0.4,0.3,0.33,0.78,148.2916667,1.45103,83.93308333
21,0.5,2.2,0.3,0.2,0.2,0.59,0.89,190.5,0.652772,107.823
20,0.3,1.7,0.7,0.3,0.1,0.69,0.61,218.2291667,0.978782,123.5177083
21,0.7,1.1,0.5,0.2,0.1,0.7,0.66,206.1666667,0.615466,116.6903333
21,0.7,3,0.8,0.2,0.3,0.32,0.71,162.7708333,1.180498,92.12829167
21,0.4,1.5,0.5,0.4,0.3,0.35,0.74,166.375,1.624239,94.16825
24,0.6,3.4,0.6,0.3,0.1,0.61,0.57,208.5833333,1.357227,118.0581667
21,0.3,2.3,0.7,0.2,0.3,0.62,0.58,210.9791667,1.131472,119.4142083
23,0.4,2.4,0.4,0.4,0.3,0.3,0.59,162.7708333,1.496764,92.12829167
20,0.6,1.4,0.5,0.2,0.2,0.53,0.5,194.1041667,0.5798,109.8629583
21,0.585143317,2.851858569,0.58968692,0.223139535,0.191114077,0.628909812,0.672550592,209.7791302,0.982685714,118.7349877
20,0.27721789,1.451373245,0.683988432,0.216257427,0.19017226,0.44755866,0.774642418,166.8074784,0.804433461,94.41303276
24,0.615334503,2.343321974,0.778012716,0.223560667,0.240975339,0.429692637,0.530493677,178.554209,1.145908736,101.0616823
24,0.343254858,1.859549764,0.370551027,0.302663967,0.235915355,0.548818895,0.817967792,196.4026225,1.11255875,111.1638843
22,0.555788997,2.357753829,0.356801465,0.345890226,0.232295316,0.54782294,0.505660829,186.2350617,1.287742957,105.4090449
23,0.616938634,2.718190838,0.715532901,0.300050338,0.105737725,0.908916815,0.855018004,253.0790783,0.938632673,143.2427583
23,0.626170583,2.586557616,0.718793567,0.204256471,0.123537609,0.858667323,0.724281691,245.3020292,0.844325323,138.8409485
20,0.403616712,3.023655877,0.231547014,0.180287831,0.104872531,0.893303962,0.5873551,238.8386606,0.709639157,135.1826819
21,0.453696365,1.348216345,0.62599941,0.247661941,0.127844421,0.51402744,0.82550633,176.28297,0.756277145,99.776161
20,0.571183007,2.709116435,0.419786879,0.268566385,0.144104613,0.423961671,0.676149169,175.6602055,0.925765403,99.4236763
22,0.447918805,1.915158868,0.719262855,0.198350665,0.193758549,0.588387867,0.580437283,203.459653,0.932739524,115.1581636
22,0.732025899,1.177627132,0.62143856,0.378618875,0.154062561,0.959066097,0.817537614,263.1889075,1.150256358,148.9649216
21,0.534503464,1.746110094,0.600183379,0.206564455,0.123421908,0.328266963,0.718666758,146.3372998,0.709363573,82.82691166
23,0.224428865,3.088290445,0.57596747,0.352067555,0.191712131,0.356691986,0.675253692,165.4218254,1.159678939,93.62875315
21,0.335835415,2.854539131,0.788629304,0.181551338,0.176065062,0.966661166,0.515137039,265.2985406,0.929873623,150.158974
21,0.384727958,2.801936911,0.31846063,0.165483859,0.269012605,0.699509684,0.889026403,208.1491505,0.915576246,117.8124192
20,0.355861155,2.544120603,0.617316263,0.229863134,0.287764938,0.757190532,0.766630863,232.0162279,1.124906518,131.321185
21,0.373990715,2.900271598,0.521907146,0.260037075,0.227298854,0.376006483,0.66559394,156.5384769,1.049059769,88.60077795
21,0.434396602,2.465219527,0.339258846,0.198430816,0.236368611,0.668932101,0.563026022,204.8398814,1.002402385,115.9393729
20,0.785254451,3.164110293,0.392133607,0.193071939,0.204964009,0.711872384,0.74533779,210.448154,0.95102242,119.1136551
20,0.635158449,2.839525416,0.587455989,0.19511658,0.246637255,0.429509935,0.698875766,165.3543734,1.005182995,93.59057537
22,0.747182448,1.381546455,0.725392212,0.231394055,0.132024329,0.77947665,0.749974589,220.3031446,0.841706692,124.6915798
21,0.602386822,2.463871279,0.663200843,0.180331928,0.178260241,0.778113561,0.749805237,233.0852077,0.873035917,131.9262276
22,0.708802271,2.364453014,0.445428214,0.321312931,0.200396132,0.557526605,0.776388913,185.4387824,1.130057703,104.9583508
24,0.786709213,2.890814803,0.76805012,0.192042392,0.221737305,0.693684165,0.677053366,207.9001434,1.042846621,117.6714812
21,0.371394759,2.993373486,0.453367937,0.246059493,0.204715169,0.561808918,0.627258171,186.5732027,1.007253686,105.6004327
20,0.736978184,1.737305853,0.605194624,0.25160923,0.292117586,0.879156985,0.820216517,252.0877146,1.205983299,142.6816465
22,0.507034477,3.223855617,0.219781887,0.216220029,0.194416161,0.708431129,0.858511078,208.6584917,0.894898397,118.1007063
20,0.77692668,1.237010499,0.658490528,0.330559709,0.217461288,0.303264382,0.538397745,158.8926618,1.217075737,89.93324656
22,0.518485782,2.29890197,0.343980626,0.38653151,0.118887195,0.484886068,0.708803324,185.3112556,1.073544699,104.8861707
23,0.620781796,2.316374285,0.787865245,0.157763184,0.261686265,0.495680872,0.864567408,187.4907251,0.96061616,106.1197504
21,0.570112227,3.166414921,0.596853878,0.343404066,0.19336096,0.904738217,0.550094751,256.4272917,1.272977344,145.1378471
22,0.231678044,1.583280287,0.714105098,0.321129382,0.210900364,0.725614701,0.795053632,212.8767765,1.06976964,120.4882555
21,0.491581087,2.542074487,0.483614987,0.176592546,0.227300575,0.915250367,0.578578781,244.818329,0.981125569,138.5671742
22,0.602393029,2.688886471,0.236911377,0.295983552,0.152939702,0.348145314,0.538075983,151.4988293,1.020375984,85.74833736
24,0.428816345,2.735563445,0.254028793,0.278910053,0.125599733,0.992330676,0.75362799,267.0186285,0.940812997,151.1325438
23,0.202942836,1.716927476,0.313996571,0.287492435,0.284985234,0.552313645,0.677857757,198.7472637,1.18910299,112.4909513
22,0.492620556,2.321432424,0.792023549,0.368176422,0.200243329,0.480419804,0.664303756,186.5091025,1.238737346,105.564152
21,0.786083021,3.165257822,0.456914555,0.302768904,0.168911527,0.965919487,0.593092545,265.5830604,1.16704408,150.3200122
22,0.266650524,3.467768457,0.586992246,0.207369536,0.133497468,0.501366422,0.65946307,174.8336434,0.782491594,98.95584217
